Country.x,State.Region,City,Meetup,Twitter,Email,Facebook,Instagram,Periscope,Youtube,GitHub,Website,Slack,Organizers,Status,Country.y,City.y,Region.x,Population.x,Latitude.x,Longitude.x,Country.x.x,City.y.y,Region.y,Population.y,Latitude.y,Longitude.y,Country.y.y,City.y.y.y,Region,Population,Latitude,Longitude
Worldwide,NA,Remote,https://www.meetup.com/rladies-remote/,https://twitter.com/rladiesremote,remote@rladies.org,NA,NA,NA,NA,NA,NA,https://rladies-remote.slack.com,"Angela Castillo-Gill, Auriel Fournier, Charles T. Gray, Abigail Lebrecht, Steph De Silva, Heather Turner",Active,us,remote,OR,NA,43.006111100000005,-123.8913889,us,remote,OR,NA,43.006111100000005,-123.8913889,us,remote,OR,NA,43.006111100000005,-123.8913889
Algeria,NA,Algiers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kamila Benadrouche, Lounas Fairouz, Zibani Fazia",Prospective,dz,algiers,01,1980242,36.7630556,3.0505556,dz,algiers,01,1980242,36.7630556,3.0505556,dz,algiers,01,1980242,36.7630556,3.0505556
Argentina,Buenos Aires,Buenos Aires,https://www.meetup.com/rladies-buenos-aires/,https://twitter.com/RLadiesBA,buenosaires@rladies.org,https://www.facebook.com/RladiesBA/,https://www.instagram.com/rladiesba/,NA,https://www.youtube.com/channel/UCztAJhENVqsqv0cvyxs4sgg,https://github.com/rladies/meetup-presentations_buenosaires,NA,NA,"Paola Corrales, Florencia D'Andrea, Monica Alonso, Priscilla Minotti, Jimena Saucedo, Maria Nanton, Andrea Gomez,",Active,ar,buenos aires,07,NA,-34.5875,-58.6725,ar,buenos aires,07,NA,-34.5875,-58.6725,ar,buenos aires,07,NA,-34.5875,-58.6725
Argentina,Buenos Aires,La Plata,https://www.meetup.com/rladies-la-plata/,https://twitter.com/RLadies_LP,laplata@rladies.org,NA,NA,NA,NA,NA,NA,NA,"Sol Represa, Myrian Aguilar, Daniela Esquivel",Active,ar,la plata,01,684318,-34.921454,-57.954533,ar,la plata,01,684318,-34.921454,-57.954533,ar,la plata,01,684318,-34.921454,-57.954533
Argentina,Chaco-Corrientes,Resistencia-Corrientes,https://www.meetup.com/rladies-resistencia-corrientes/,https://twitter.com/RLadies_rciacte,rciactes@rladies.org,https://www.facebook.com/R-Ladies-Rcia-Ctes,NA,NA,NA,NA,NA,NA,"Patricia Loto, Roxana Noelia Villafañe",Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Argentina,Córdoba,Córdoba,https://www.meetup.com/rladies-cordoba/,https://twitter.com/RLadiesCba,cordoba@rladies.org,https://www.facebook.com/RLadiesCba,NA,NA,NA,https://github.com/rladies/meetup-presentations_cordoba,NA,rladies-cordoba.slack.com,Juliana Benitez,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Argentina,La Pampa,General Pico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marysol Gatti,Prospective,ar,general pico,11,55900,-35.656622,-63.756815,ar,general pico,11,55900,-35.656622,-63.756815,ar,general pico,11,55900,-35.656622,-63.756815
Argentina,La Pampa,Santa Rosa,https://www.meetup.com/rladies-santa-rosa/,https://twitter.com/RladiesSR,santarosa@rladies.org,https://www.facebook.com/pg/RLadiesSR,NA,NA,NA,https://github.com/rladies/meetup-presentations_santarosa,NA,NA,"Yanina Bellini Saibene, Marina Cock",Active,an,santa rosa,00,NA,12.116666699999998,-68.8833333,an,santa rosa,00,NA,12.116666699999998,-68.8833333,an,santa rosa,00,NA,12.116666699999998,-68.8833333
Argentina,Mendoza,Mendoza,https://www.meetup.com/rladies-mendoza/,https://twitter.com/RLadiesMza,mendoza@rladies.org,https://www.facebook.com/RLadiesMendoza,NA,NA,NA,https://github.com/rladies/meetup-presentations_mendoza,NA,NA,"Ana Laura Diedrichs, Jan Strappa, Brenda Canizo",Active,ar,mendoza,13,973047,-32.890845,-68.82717099999999,ar,mendoza,13,973047,-32.890845,-68.82717099999999,ar,mendoza,13,973047,-32.890845,-68.82717099999999
Argentina,Río Negro,Bariloche,https://www.meetup.com/rladies-bariloche/,https://twitter.com/RLadiesBRC,bariloche@rladies.org,https://www.facebook.com/rladies.bariloche,NA,NA,NA,NA,NA,rladies-brc.slack.com,"Lina Moreno Azócar, Sofía Ruiz, Paula Fergnani",Active,ar,bariloche,01,NA,-35.5,-62.233332999999995,ar,bariloche,01,NA,-35.5,-62.233332999999995,ar,bariloche,01,NA,-35.5,-62.233332999999995
